id,first_name,last_name,date_of_birth,phone,email
1,Chris,Williams,9/2/1986 14:28,51-(372)140-6756,cwilliams@school.edu
2,Phyllis,Gomez,8/4/1986 21:37,95-(279)738-5072,pgomez@school.edu
3,Rebecca,Nichols,6/22/1989 19:16,670-(280)866-2238,rnichols@school.edu
4,Ralph,Clark,6/28/1982 16:48,86-(967)211-4683,rclark@school.edu
5,Randy,Sims,10/23/1991 20:10,216-(306)467-3504,rsims@school.edu
6,Craig,Lopez,8/30/1973 13:06,1-(888)392-6817,clopez@school.edu
7,Joseph,Ray,1/9/1985 8:53,86-(256)263-2571,jray@school.edu
8,Michelle,Phillips,9/17/1973 7:41,383-(317)359-2993,mphillips@school.edu
9,Richard,Price,7/17/1974 17:19,52-(161)181-4000,rprice@school.edu
10,Rachel,Young,11/5/1974 12:59,63-(259)180-8893,ryoung@school.edu
11,Peter,Jones,12/27/1981 12:48,7-(181)313-1744,pjones@school.edu
12,Helen,Shaw,8/4/1978 23:04,86-(177)148-0426,hshaw@school.edu
13,Theresa,Richards,4/10/1982 0:07,856-(655)333-4224,trichards@school.edu
14,Aaron,Garrett,10/7/1987 16:44,86-(509)862-7300,agarrett@school.edu
15,Kelly,Murray,4/24/1986 4:58,7-(808)110-3351,kmurray@school.edu
16,Teresa,Duncan,11/14/1980 9:35,62-(300)672-3190,tduncan@school.edu
17,Jesse,Simpson,7/13/1971 6:43,86-(486)391-2406,jsimpson@school.edu
18,Tina,Wright,9/23/1976 17:58,98-(710)378-8371,twright@school.edu
19,Norma,Wallace,10/14/1986 21:10,63-(239)603-8603,nwallace@school.edu
20,Benjamin,Adams,7/6/1987 1:19,51-(878)266-1803,badams@school.edu
21,Cheryl,Fox,10/3/1974 21:40,49-(669)987-8827,cfox@school.edu
22,Alice,Watkins,10/11/1974 21:22,7-(577)829-2170,awatkins@school.edu
23,Clarence,Butler,2/24/1987 6:10,242-(534)575-1235,cbutler@school.edu
24,Rose,Cox,9/12/1977 6:22,54-(581)849-1684,rcox@school.edu
25,Keith,Price,12/16/1980 12:19,48-(524)290-3581,kprice@school.edu
26,Dorothy,Ryan,10/4/1978 19:53,62-(281)748-5960,dryan@school.edu
27,Gary,Wheeler,9/29/1974 0:28,970-(566)297-9410,gwheeler@school.edu
28,Juan,Wilson,3/6/1972 10:23,47-(821)310-3710,jwilson@school.edu
29,Bonnie,Martin,10/29/1991 2:33,385-(496)502-8051,bmartin@school.edu
30,Rachel,Riley,10/10/1971 22:42,57-(538)680-2676,rriley@school.edu
31,Deborah,Sanders,7/16/1971 17:22,63-(987)608-5534,dsanders@school.edu
32,Jean,Marshall,4/11/1984 3:25,55-(554)483-5798,jmarshall@school.edu
33,Shawn,Lee,4/30/1983 14:59,994-(739)696-1889,slee@school.edu
34,Chris,James,1/26/1985 17:29,86-(559)235-8477,cjames@school.edu
35,Donna,Frazier,1/3/1988 4:13,86-(640)138-0022,dfrazier@school.edu
36,Mary,Andrews,4/29/1979 14:49,976-(566)685-4880,mandrews@school.edu
37,Judith,Powell,1/4/1991 14:33,359-(732)374-4979,jpowell@school.edu
38,Teresa,Turner,11/9/1973 6:28,63-(175)370-7525,tturner@school.edu
39,Linda,Hall,9/15/1971 23:40,389-(985)191-6754,lhall@school.edu
40,Margaret,Ray,11/23/1978 15:10,992-(393)477-0465,mray@school.edu
41,Justin,Howell,10/12/1983 12:57,48-(633)555-2087,jhowell@school.edu
42,Bonnie,Stewart,1/19/1988 19:47,57-(307)894-0645,bstewart@school.edu
43,Angela,Rice,2/18/1970 23:08,55-(171)565-4216,arice@school.edu
44,Catherine,Simmons,6/24/1982 21:54,51-(875)434-9105,csimmons@school.edu
45,Sharon,Montgomery,9/14/1971 22:08,86-(295)153-2577,smontgomery@school.edu
46,Michael,Hunter,6/10/1970 5:17,51-(660)651-4721,mhunter@school.edu
47,Martha,Cruz,9/12/1979 2:08,420-(138)843-8979,mcruz@school.edu
48,Stephen,Palmer,3/12/1983 9:06,30-(608)215-6243,spalmer@school.edu
49,Judith,Howard,7/28/1977 4:04,230-(782)410-3795,jhoward@school.edu
50,Roger,Green,12/6/1991 14:58,86-(387)661-9587,rgreen@school.edu
51,Steven,Stanley,6/30/1972 10:58,86-(836)777-9980,sstanley@school.edu
52,Wayne,Greene,9/6/1977 23:50,994-(267)355-4418,wgreene@school.edu
53,Juan,Cook,10/7/1974 23:25,86-(417)585-6803,jcook@school.edu
54,Emily,Peters,12/14/1974 19:21,86-(398)286-2345,epeters@school.edu
55,Roger,Scott,8/28/1985 5:30,7-(682)873-9951,rscott@school.edu
56,Jeffrey,Wood,3/21/1972 12:12,501-(660)861-8871,jwood@school.edu
57,Donald,Sanders,9/25/1983 16:47,62-(343)206-8881,dsanders@school.edu
58,Mark,Lewis,7/10/1972 15:44,1-(717)537-3924,mlewis@school.edu
59,Ruby,Hanson,11/18/1972 10:40,385-(326)187-4956,rhanson@school.edu
60,Kimberly,Smith,10/27/1986 10:33,86-(890)746-1006,ksmith@school.edu
61,Amanda,George,1/21/1984 9:59,420-(427)355-0263,ageorge@school.edu
62,Karen,Gray,12/2/1986 0:06,57-(137)574-4352,kgray@school.edu
63,Wayne,Cooper,11/6/1991 15:26,63-(783)808-8478,wcooper@school.edu
64,Julia,Day,2/4/1972 4:22,33-(815)268-7277,jday@school.edu
65,Johnny,Miller,11/17/1981 2:48,62-(441)996-1462,jmiller@school.edu
66,Johnny,Burns,11/5/1972 5:42,55-(629)395-4274,jburns@school.edu
67,Roger,Harper,7/31/1970 1:55,66-(260)161-7964,rharper@school.edu
68,Shawn,Lynch,3/16/1985 0:33,84-(243)501-5540,slynch@school.edu
69,Willie,Gray,1/5/1990 11:14,61-(565)702-6130,wgray@school.edu
70,Samuel,Lewis,3/1/1971 14:24,30-(600)174-0512,slewis@school.edu
71,Thomas,Reyes,4/17/1983 10:12,20-(744)915-0703,treyes@school.edu
72,Jean,Sullivan,10/27/1972 20:45,7-(493)733-9031,jsullivan@school.edu
73,Emily,Ferguson,11/1/1982 12:29,62-(586)488-3293,eferguson@school.edu
74,Gary,Rodriguez,5/24/1984 20:25,63-(203)686-1048,grodriguez@school.edu
75,Christina,Weaver,3/1/1974 22:18,62-(788)631-2766,cweaver@school.edu
76,Andrea,Cruz,9/27/1975 12:10,62-(244)576-9627,acruz@school.edu
77,Maria,Warren,2/14/1982 16:58,56-(838)523-7429,mwarren@school.edu
78,Diane,Sanchez,12/16/1991 23:36,86-(348)751-1434,dsanchez@school.edu
79,Adam,Turner,2/8/1988 23:17,81-(577)755-1834,aturner@school.edu
80,Joan,Henderson,7/28/1986 9:53,62-(747)309-7220,jhenderson@school.edu
81,Kathleen,Gray,10/16/1971 17:13,996-(359)647-1080,kgray@school.edu
82,Donna,Little,12/18/1991 10:49,62-(862)619-6274,dlittle@school.edu
83,Samuel,Hayes,10/23/1980 15:46,81-(667)889-2356,shayes@school.edu
84,Roy,Butler,10/6/1987 2:30,86-(766)390-5023,rbutler@school.edu
85,Paula,Moore,8/4/1974 0:52,62-(103)737-6834,pmoore@school.edu
86,Henry,Allen,2/25/1989 6:56,691-(523)174-0283,hallen@school.edu
87,Emily,Williams,3/16/1988 21:44,52-(580)429-7142,ewilliams@school.edu
88,Fred,Snyder,2/25/1985 6:40,886-(600)487-6073,fsnyder@school.edu
89,Barbara,Gutierrez,12/21/1979 3:49,86-(449)532-7903,bgutierrez@school.edu
90,Anne,Lopez,2/12/1984 17:30,31-(428)138-5092,alopez@school.edu
91,Benjamin,Wagner,9/24/1980 13:49,351-(477)375-1130,bwagner@school.edu
92,Justin,Powell,10/23/1979 12:47,55-(924)624-7511,jpowell@school.edu
93,Joyce,Lynch,11/2/1985 1:52,62-(226)622-7597,jlynch@school.edu
94,Phyllis,Richards,11/10/1978 17:34,33-(274)857-7364,prichards@school.edu
95,Susan,Willis,1/24/1978 2:23,255-(484)172-1691,swillis@school.edu
96,Jack,Carpenter,9/6/1971 11:59,375-(744)759-3719,jcarpenter@school.edu
97,Jeremy,Morrison,12/31/1986 3:55,380-(938)887-9376,jmorrison@school.edu
98,Craig,Payne,4/3/1986 19:10,1-(944)709-1754,cpayne@school.edu
99,Gerald,Cole,8/9/1988 6:03,354-(901)790-9607,gcole@school.edu
100,Julia,Bailey,4/23/1987 13:27,387-(261)224-3600,jbailey@school.edu
101,William,Ryan,2/15/1977 2:25,54-(814)255-0153,wryan@school.edu
102,Shirley,Gilbert,2/19/1974 1:31,46-(747)170-9248,sgilbert@school.edu
103,Jason,Roberts,9/15/1971 8:27,7-(676)195-4945,jroberts@school.edu
104,Martin,Mendoza,1/23/1986 1:34,7-(699)495-7238,mmendoza@school.edu
105,Billy,Ortiz,3/8/1983 3:42,33-(853)557-3309,bortiz@school.edu
106,Arthur,Price,12/14/1981 18:27,1-(629)209-4929,aprice@school.edu
107,Steve,Webb,7/4/1981 22:42,66-(573)912-9168,swebb@school.edu
108,Ralph,Lawson,1/7/1976 12:02,505-(827)499-9025,rlawson@school.edu
109,Laura,Smith,7/23/1977 15:38,48-(661)228-0948,lsmith@school.edu
110,Terry,Russell,10/3/1983 20:10,33-(257)847-9668,trussell@school.edu
111,Billy,Sanders,10/9/1985 13:28,351-(829)834-3497,bsanders@school.edu
112,Terry,Patterson,2/27/1974 21:06,63-(699)858-9553,tpatterson@school.edu
113,Jessica,Lopez,5/7/1981 1:50,55-(935)306-5954,jlopez@school.edu
114,Aaron,Green,4/16/1980 10:30,58-(599)118-3849,agreen@school.edu
115,Marilyn,West,7/17/1972 7:31,63-(689)622-1966,mwest@school.edu
116,Roy,Gray,3/4/1984 7:22,93-(694)660-9263,rgray@school.edu
117,Helen,Dean,7/25/1989 20:42,52-(803)526-1609,hdean@school.edu
118,Charles,Woods,10/24/1988 5:26,86-(596)761-7115,cwoods@school.edu
119,Betty,Burns,1/11/1991 4:22,82-(795)356-0579,bburns@school.edu
120,Adam,Jordan,8/31/1976 5:54,30-(234)603-6315,ajordan@school.edu
121,Elizabeth,Carpenter,2/16/1989 13:57,86-(847)119-1981,ecarpenter@school.edu
122,Sean,Willis,9/10/1980 11:43,63-(194)827-1580,swillis@school.edu
123,Johnny,Wells,2/20/1989 5:23,504-(178)235-8261,jwells@school.edu
124,Phillip,Nichols,8/21/1982 19:27,66-(344)740-6526,pnichols@school.edu
125,Nancy,Bailey,1/16/1972 18:04,62-(426)749-6714,nbailey@school.edu
126,Bruce,Stewart,11/25/1985 5:56,55-(273)607-0612,bstewart@school.edu
127,Angela,Nguyen,7/22/1975 7:03,353-(191)587-3327,anguyen@school.edu
128,Richard,Johnson,9/18/1976 15:06,389-(131)941-7866,rjohnson@school.edu
129,Edward,Henry,11/18/1989 1:58,62-(454)349-2609,ehenry@school.edu
130,Judy,Price,4/18/1982 10:36,7-(522)730-4886,jprice@school.edu
131,Brandon,Harrison,1/18/1982 2:39,46-(138)556-6680,bharrison@school.edu
132,Joe,Sullivan,8/22/1974 6:28,33-(323)245-5048,jsullivan@school.edu
133,Judy,Bell,5/13/1989 2:38,977-(919)258-8922,jbell@school.edu
134,Gary,Campbell,10/27/1988 21:33,30-(507)323-8135,gcampbell@school.edu
135,Terry,Boyd,2/4/1977 23:32,81-(680)947-4683,tboyd@school.edu
136,Bruce,Gutierrez,10/23/1991 2:49,86-(532)801-4493,bgutierrez@school.edu
137,Irene,Stanley,4/11/1983 15:21,54-(526)748-1434,istanley@school.edu
138,Lois,Stanley,6/6/1970 8:00,86-(798)412-1660,lstanley@school.edu
139,John,Carr,5/11/1973 3:08,1-(516)293-6171,jcarr@school.edu
140,Ashley,Jordan,1/26/1980 15:37,51-(767)387-5207,ajordan@school.edu
141,Brian,Elliott,3/15/1973 8:08,504-(484)760-6905,belliott@school.edu
142,Eugene,Duncan,3/9/1982 17:04,86-(657)777-5915,eduncan@school.edu
143,Marie,Elliott,3/22/1976 1:13,353-(277)237-0121,melliott@school.edu
144,Phillip,Gonzalez,7/8/1984 22:09,61-(469)106-9044,pgonzalez@school.edu
145,Ralph,Fowler,2/11/1991 4:26,55-(854)470-3223,rfowler@school.edu
146,Benjamin,Willis,4/20/1973 17:52,86-(833)808-1077,bwillis@school.edu
147,Douglas,Parker,7/5/1976 6:31,60-(219)380-1919,dparker@school.edu
148,Daniel,Medina,6/26/1989 11:00,48-(772)243-1048,dmedina@school.edu
149,Melissa,Watkins,8/15/1979 17:04,86-(961)149-9941,mwatkins@school.edu
150,Stephanie,Larson,6/29/1973 18:50,86-(689)562-5497,slarson@school.edu
151,Philip,Henry,11/18/1974 14:41,48-(878)411-3251,phenry@school.edu
152,Eric,Butler,9/24/1972 0:21,249-(343)644-9439,ebutler@school.edu
153,Judy,Fuller,6/24/1987 0:07,1-(516)561-7811,jfuller@school.edu
154,Cynthia,Powell,2/2/1973 23:34,963-(920)237-8643,cpowell@school.edu
155,Jason,Matthews,3/27/1991 13:35,86-(157)755-0487,jmatthews@school.edu
156,Judy,Miller,7/27/1970 22:13,33-(121)389-4691,jmiller@school.edu
157,Paula,Hernandez,9/21/1971 20:57,86-(769)427-5144,phernandez@school.edu
158,Eric,Patterson,12/1/1988 8:57,1-(513)862-3669,epatterson@school.edu
159,Frank,Baker,4/28/1990 11:28,992-(293)499-3444,fbaker@school.edu
160,Keith,Rodriguez,11/29/1984 5:09,371-(260)942-4691,krodriguez@school.edu
161,Justin,Stevens,6/13/1989 6:34,7-(673)588-5667,jstevens@school.edu
162,Joe,Perez,9/1/1977 16:01,351-(345)303-4673,jperez@school.edu
163,Willie,Stewart,10/11/1987 9:50,373-(445)800-8980,wstewart@school.edu
164,Marie,Porter,10/9/1976 23:59,86-(722)299-2564,mporter@school.edu
165,William,Baker,5/16/1991 0:28,48-(318)740-2636,wbaker@school.edu
166,Shirley,Vasquez,11/4/1987 2:28,86-(209)914-9860,svasquez@school.edu
167,Pamela,Kelley,11/23/1971 1:12,55-(970)244-1823,pkelley@school.edu
168,Carolyn,Hernandez,10/28/1980 4:42,86-(953)817-2022,chernandez@school.edu
169,Heather,Reyes,12/27/1983 8:51,420-(117)669-7859,hreyes@school.edu
170,Stephen,Graham,10/20/1989 18:39,33-(127)268-2385,sgraham@school.edu
171,Anthony,Alexander,8/12/1981 20:54,48-(838)420-7858,aalexander@school.edu
172,Edward,Carpenter,11/4/1978 16:38,255-(106)653-7081,ecarpenter@school.edu
173,Paula,Torres,10/24/1986 5:23,55-(706)280-7126,ptorres@school.edu
174,Charles,Mccoy,10/27/1985 2:10,33-(210)803-1686,cmccoy@school.edu
175,Antonio,Morrison,10/19/1977 9:57,86-(923)988-2362,amorrison@school.edu
176,Deborah,Weaver,2/12/1984 8:06,62-(669)467-3876,dweaver@school.edu
177,Thomas,Mccoy,6/19/1979 23:35,47-(480)196-8529,tmccoy@school.edu
178,Peter,Lewis,2/22/1988 0:43,46-(965)219-2490,plewis@school.edu
179,Donald,Ward,12/23/1983 3:14,86-(521)234-9804,dward@school.edu
180,Jimmy,Perez,2/13/1982 23:47,46-(762)174-3088,jperez@school.edu
181,Ralph,Stevens,3/11/1973 0:32,856-(145)836-6989,rstevens@school.edu
182,Kimberly,Long,5/3/1980 1:11,62-(479)337-1372,klong@school.edu
183,Mildred,Hart,12/15/1984 19:52,86-(996)894-1699,mhart@school.edu
184,Russell,Palmer,4/24/1988 14:41,86-(463)299-3024,rpalmer@school.edu
185,Donald,Frazier,11/4/1980 18:33,54-(829)173-5755,dfrazier@school.edu
186,Brandon,Burton,1/13/1975 8:01,55-(869)717-5238,bburton@school.edu
187,Ruby,Kim,11/24/1985 12:20,55-(720)922-3072,rkim@school.edu
188,Jose,Ortiz,7/12/1975 13:06,86-(476)927-8090,jortiz@school.edu
189,Billy,Hunt,11/14/1982 18:36,420-(218)294-3253,bhunt@school.edu
190,Marie,Martin,1/1/1975 21:23,1-(389)777-7899,mmartin@school.edu
