StudentID,StudentFName,StudentLName,StudentDOB,StudentPhoneNumber,StudentEmail,StudentTypeID
2,Christine,Lewis,4/29/1993 0:32,33-(752)813-0354,clewis@school.edu,4
3,Kathleen,Snyder,4/13/1994 7:21,55-(434)112-7065,ksnyder@school.edu,5
4,William,Wood,5/25/1997 22:26,351-(107)446-8659,wwood@school.edu,4
5,Patricia,Harris,9/1/1990 21:30,86-(515)820-8301,pharris@school.edu,5
6,Lois,Wheeler,11/23/1988 15:20,689-(838)539-8250,lwheeler@school.edu,1
7,George,Wood,3/19/1987 17:16,1-(971)174-2433,gwood@school.edu,2
8,Joseph,Willis,10/9/1985 11:07,57-(405)762-5756,jwillis@school.edu,5
9,Norma,Hall,10/26/1982 8:39,86-(699)214-3929,nhall@school.edu,5
10,Gloria,Reed,1/29/1994 22:07,62-(182)317-4705,greed@school.edu,5
11,Terry,Pierce,3/29/1989 13:50,86-(238)559-5612,tpierce@school.edu,3
12,Norma,Ray,8/21/1985 8:25,420-(146)715-6938,nray@school.edu,4
13,Lois,Carpenter,2/15/1988 9:50,62-(417)475-7874,lcarpenter@school.edu,3
14,Shawn,Sullivan,10/9/1987 11:28,86-(260)205-0490,ssullivan@school.edu,3
15,Christina,Romero,8/31/1992 15:27,86-(316)354-7417,cromero@school.edu,5
16,Kathleen,Martinez,2/11/1997 19:28,7-(407)144-1052,kmartinez@school.edu,5
17,Timothy,Sims,9/1/1992 18:17,249-(553)371-4681,tsims@school.edu,3
18,Dorothy,Dean,3/10/1983 11:45,1-(126)924-4924,ddean@school.edu,2
19,Joe,Wheeler,12/5/1985 10:32,62-(580)103-1414,jwheeler@school.edu,3
20,George,Jones,2/14/1989 9:13,58-(849)660-0275,gjones@school.edu,2
21,Scott,Lewis,1/23/1984 0:33,48-(690)282-2986,slewis@school.edu,2
22,Kathryn,Greene,8/28/1984 17:05,351-(700)566-5757,kgreene@school.edu,3
23,Jimmy,Diaz,5/20/1986 20:45,591-(283)535-4241,jdiaz@school.edu,2
24,Carl,Perez,2/11/1984 3:39,262-(840)469-3537,cperez@school.edu,2
